"Title","Total Production : Sections B, C, D and E (Index):CVM"
"CDID","L2KQ"
"Source dataset ID","PN2"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","13-11-2025"
"Next release","22 December 2025"
"Important notes",
"1990","76.8"
"1991","74.6"
"1992","75.0"
"1993","76.8"
"1994","80.6"
"1995","82.2"
"1996","83.6"
"1997","86.8"
"1998","90.3"
"1999","93.9"
"2000","97.2"
"2001","100.4"
"2002","102.3"
"2003","105.8"
"2004","105.5"
"2005","105.1"
"2006","109.8"
"2007","108.9"
"2008","108.1"
"2009","100.7"
"2010","98.2"
"2011","93.0"
"2012","92.9"
"2013","94.6"
"2014","96.2"
"2015","99.8"
"2016","99.6"
"2017","100.3"
"2018","103.0"
"2019","104.5"
"2020","105.2"
"2021","106.7"
"2022","102.6"
"2023","100.0"
"2024","98.5"
"1990 Q1","76.2"
"1990 Q2","78.0"
"1990 Q3","76.9"
"1990 Q4","76.1"
"1991 Q1","75.2"
"1991 Q2","74.7"
"1991 Q3","73.9"
"1991 Q4","74.7"
"1992 Q1","74.7"
"1992 Q2","74.3"
"1992 Q3","75.2"
"1992 Q4","75.8"
"1993 Q1","75.7"
"1993 Q2","76.1"
"1993 Q3","77.1"
"1993 Q4","78.3"
"1994 Q1","78.8"
"1994 Q2","80.4"
"1994 Q3","81.2"
"1994 Q4","82.1"
"1995 Q1","81.3"
"1995 Q2","82.2"
"1995 Q3","82.5"
"1995 Q4","82.9"
"1996 Q1","83.4"
"1996 Q2","83.0"
"1996 Q3","83.5"
"1996 Q4","84.6"
"1997 Q1","85.3"
"1997 Q2","86.1"
"1997 Q3","87.1"
"1997 Q4","88.5"
"1998 Q1","89.6"
"1998 Q2","90.4"
"1998 Q3","90.3"
"1998 Q4","91.0"
"1999 Q1","92.4"
"1999 Q2","93.1"
"1999 Q3","94.7"
"1999 Q4","95.3"
"2000 Q1","96.0"
"2000 Q2","96.8"
"2000 Q3","97.3"
"2000 Q4","98.6"
"2001 Q1","100.0"
"2001 Q2","100.6"
"2001 Q3","101.0"
"2001 Q4","100.1"
"2002 Q1","100.4"
"2002 Q2","100.0"
"2002 Q3","104.3"
"2002 Q4","104.5"
"2003 Q1","105.7"
"2003 Q2","104.9"
"2003 Q3","105.9"
"2003 Q4","106.9"
"2004 Q1","107.3"
"2004 Q2","106.6"
"2004 Q3","104.3"
"2004 Q4","103.9"
"2005 Q1","103.9"
"2005 Q2","105.3"
"2005 Q3","104.5"
"2005 Q4","106.6"
"2006 Q1","108.5"
"2006 Q2","110.2"
"2006 Q3","110.5"
"2006 Q4","109.9"
"2007 Q1","109.1"
"2007 Q2","108.6"
"2007 Q3","108.6"
"2007 Q4","109.2"
"2008 Q1","109.0"
"2008 Q2","109.0"
"2008 Q3","108.9"
"2008 Q4","105.5"
"2009 Q1","101.1"
"2009 Q2","101.1"
"2009 Q3","100.5"
"2009 Q4","100.0"
"2010 Q1","100.3"
"2010 Q2","99.2"
"2010 Q3","97.1"
"2010 Q4","96.2"
"2011 Q1","93.9"
"2011 Q2","92.7"
"2011 Q3","92.6"
"2011 Q4","92.7"
"2012 Q1","92.6"
"2012 Q2","92.8"
"2012 Q3","93.3"
"2012 Q4","92.8"
"2013 Q1","93.0"
"2013 Q2","94.5"
"2013 Q3","95.3"
"2013 Q4","95.6"
"2014 Q1","95.9"
"2014 Q2","95.4"
"2014 Q3","96.2"
"2014 Q4","97.3"
"2015 Q1","98.8"
"2015 Q2","100.1"
"2015 Q3","100.2"
"2015 Q4","100.0"
"2016 Q1","99.6"
"2016 Q2","100.5"
"2016 Q3","99.2"
"2016 Q4","99.0"
"2017 Q1","98.9"
"2017 Q2","99.1"
"2017 Q3","100.8"
"2017 Q4","102.5"
"2018 Q1","103.5"
"2018 Q2","103.3"
"2018 Q3","103.4"
"2018 Q4","101.9"
"2019 Q1","104.0"
"2019 Q2","103.2"
"2019 Q3","104.3"
"2019 Q4","106.2"
"2020 Q1","106.7"
"2020 Q2","93.6"
"2020 Q3","109.2"
"2020 Q4","111.5"
"2021 Q1","108.9"
"2021 Q2","108.0"
"2021 Q3","105.6"
"2021 Q4","104.2"
"2022 Q1","103.7"
"2022 Q2","103.4"
"2022 Q3","102.0"
"2022 Q4","101.4"
"2023 Q1","100.3"
"2023 Q2","100.3"
"2023 Q3","100.4"
"2023 Q4","99.0"
"2024 Q1","98.8"
"2024 Q2","98.4"
"2024 Q3","98.4"
"2024 Q4","98.2"
"2025 Q1","98.8"
"2025 Q2","98.0"
"2025 Q3","97.5"
